106.13,79.98,0,0,118.33,0,0,98.515,0,0,0,81.541,0,21.104,0,0,0,106.13,0,0,0,0,0,0,0
79.98,77.737,0,107.2,0,138.95,0,0,0,0,76.885,56.826,0,0,0,0,0,68.302,0,122.69,0,0,0,77.737,0
0,0,126.19,0,0,96.394,0,0,0,0,0,103.31,202.31,0,0,0,126.19,0,0,0,0,0,0,0,0
0,107.2,0,44.811,0,0,0,0,0,0,48.829,0,0,0,79.2,0,0,0,0,31.473,44.811,0,0,0,0
118.33,0,0,0,42.052,0,90.372,20.389,0,125.32,0,0,0,0,0,42.052,0,0,0,0,0,0,0,0,0
0,138.95,96.394,0,0,47.464,0,0,0,0,0,140.2,111.49,0,0,0,0,0,0,62.86,0,0,47.464,0,0
0,0,0,0,90.372,0,51.439,0,0,67.645,0,0,0,0,0,66.562,0,63.831,0,0,69.428,0,0,51.439,0
98.515,0,0,0,20.389,0,0,50.519,0,0,0,0,0,0,0,33.707,0,50.519,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,81.541,208.11,0,0,0,0,0,0,0,0,33.682,0,0,46.903,0,0,81.541
0,0,0,0,125.32,0,67.645,0,208.11,166.79,0,0,0,0,0,0,0,0,0,0,116.2,166.79,0,0,0
0,76.885,0,48.829,0,0,0,0,0,0,18.985,0,0,0,0,0,0,0,0,0,44.144,0,0,18.985,0
81.541,56.826,103.31,0,0,140.2,0,0,0,0,0,61.868,0,76.067,0,0,61.868,0,0,0,0,0,0,0,0
0,0,202.31,0,0,111.49,0,0,0,0,0,0,11.613,0,0,0,0,0,0,0,0,0,76.665,0,11.613
21.104,0,0,0,0,0,0,0,0,0,0,76.067,0,70.411,0,0,70.411,0,0,0,0,0,0,0,0
0,0,0,79.2,0,0,0,0,0,0,0,0,0,0,91.898,0,0,0,25.654,81.541,75.11,12.426,91.898,0,0
0,0,0,0,42.052,0,66.562,33.707,0,0,0,0,0,0,0,18.761,0,18.761,0,0,0,0,0,0,0
0,0,126.19,0,0,0,0,0,0,0,0,61.868,0,70.411,0,0,70.411,0,0,0,0,0,0,0,0
106.13,68.302,0,0,0,0,63.831,50.519,0,0,0,0,0,0,0,18.761,0,50.168,0,0,0,0,0,50.168,0
0,0,0,0,0,0,0,0,33.682,0,0,0,0,0,25.654,0,0,0,83.342,0,0,19.519,92.585,0,83.342
0,122.69,0,31.473,0,62.86,0,0,0,0,0,0,0,0,81.541,0,0,0,0,40.437,0,0,40.437,0,0
0,0,0,44.811,0,0,69.428,0,0,116.2,44.144,0,0,0,75.11,0,0,0,0,0,51.534,85.78,0,51.534,0
0,0,0,0,0,0,0,0,46.903,166.79,0,0,0,0,12.426,0,0,0,19.519,0,85.78,85.78,0,0,0
0,0,0,0,0,47.464,0,0,0,0,0,0,76.665,0,91.898,0,0,0,92.585,40.437,0,0,81.607,0,81.607
0,77.737,0,0,0,0,51.439,0,0,0,18.985,0,0,0,0,0,0,50.168,0,0,51.534,0,0,51.534,0
0,0,0,0,0,0,0,0,81.541,0,0,0,11.613,0,0,0,0,0,83.342,0,0,0,81.607,0,81.607
