    1.0000 ,   0.9795,    0.9579,    0.9226,    0.8746,    0.8311,    0.8000,    0.7016,    0.6247,    0.5365
    1.0000  ,  0.8888,    0.8557,    0.8016,    0.7610,    0.6989,    0.6294,    0.5585,    0.5301,    0.4889
    1.0000,    0.9851,    0.9788,    0.9572,    0.9310,    0.9137,    0.8902,    0.8260,    0.7495,    0.6365
    1.0000,    0.9993,    1.0000,    0.9979,    0.9991,    1.0000,    0.9908,    0.9756,    0.9226,    0.8889
    1.0000,    1.0000,    1.0000,    0.9975,    0.9906,    1.0000,    0.9895,    0.9870,    0.9742,    0.9556
    1.0000,    0.9987,    1.0000,    0.9992,    0.9981,    1.0000,    0.9954,    1.0000,    1.0000,    1.0000
    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    0.9968
    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000
    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000,    1.0000
    0.2261,    0.1505,    0.1114,    0.0992,    0.0939,    0.0803,    0.0837,    0.0740,    0.0710,    0.0778
