122.51,120.71,0,43.16,142.82,0,0,0,0,0,0,88.808,0,0,0,0,0,0,0,0,20.521,0,122.51,0,0
120.71,101.31,0,109.72,22.133,0,83.016,0,0,0,0,0,85.056,0,0,0,0,0,0,0,101.31,0,0,0,0
0,0,85.955,0,0,43.888,0,0,0,0,0,0,0,43.811,52.515,0,0,49.766,75.914,0,0,0,116.79,0,85.955
43.16,109.72,0,33.03,0,0,0,0,0,0,0,64.804,80.827,0,0,0,0,0,0,19.302,33.03,0,0,0,0
142.82,22.133,0,0,70.696,0,79.72,70.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,43.888,0,0,121.71,0,0,57.601,0,0,0,0,70.51,0,0,104.13,0,49.949,0,0,0,0,121.71,0
0,83.016,0,0,79.72,0,137.93,65.759,0,0,101.79,0,59.705,0,0,0,137.93,0,0,0,0,0,0,0,0
0,0,0,0,70.696,0,65.759,127.36,0,0,127.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,57.601,0,0,19.328,84.711,0,0,0,0,0,0,0,0,17.812,0,0,11.274,0,91.869,19.328
0,0,0,0,0,0,0,0,84.711,13.355,0,0,0,0,0,79.582,0,0,0,0,0,84.314,0,13.355,0
0,0,0,0,0,0,101.79,127.36,0,0,208.26,0,0,0,0,0,98.076,0,0,0,0,0,0,208.26,0
88.808,0,0,64.804,0,0,0,0,0,0,0,69.311,0,0,48.5,0,0,19.716,0,60.779,0,0,69.311,0,0
0,85.056,0,80.827,0,0,59.705,0,0,0,0,0,66.478,77.138,76.979,0,134.83,0,0,66.478,0,0,0,0,0
0,0,43.811,0,0,70.51,0,0,0,0,0,0,77.138,126.58,18.913,0,126.58,0,0,0,0,0,0,0,0
0,0,52.515,0,0,0,0,0,0,0,0,48.5,76.979,18.913,48.12,0,0,37.134,0,48.12,0,0,0,0,0
0,0,0,0,0,0,0,0,0,79.582,0,0,0,0,0,46.903,0,0,0,0,0,34.302,211.46,0,46.903
0,0,0,0,0,104.13,137.93,0,0,0,98.076,0,134.83,126.58,0,0,116.28,0,0,0,0,0,0,116.28,0
0,0,49.766,0,0,0,0,0,0,0,0,19.716,0,0,37.134,0,0,80.779,0,0,0,0,80.779,0,0
0,0,75.914,0,0,49.949,0,0,17.812,0,0,0,0,0,0,0,0,0,12.249,0,0,0,0,0,12.249
0,0,0,19.302,0,0,0,0,0,0,0,60.779,66.478,0,48.12,0,0,0,0,48.12,0,0,0,0,0
20.521,101.31,0,33.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.03,0,0,0,0
0,0,0,0,0,0,0,0,11.274,84.314,0,0,0,0,0,34.302,0,0,0,0,0,18.223,0,0,18.223
122.51,0,116.79,0,0,0,0,0,0,0,0,69.311,0,0,0,211.46,0,80.779,0,0,0,0,169.14,0,169.14
0,0,0,0,0,121.71,0,0,91.869,13.355,208.26,0,0,0,0,0,116.28,0,0,0,0,0,0,116.28,0
0,0,85.955,0,0,0,0,0,19.328,0,0,0,0,0,0,46.903,0,0,12.249,0,0,18.223,169.14,0,169.14
